userName,score,at,content
viral dunia terbalik,5,10/12/2022 1:20,Kenapa tiktok yang lain ada kotak koin muncul di layar hp mereka...punyaku ga muncul kotak koin di hpku ... .. jelasin dong tiktok
Alby Azka,5,10/11/2022 20:22,Insyaalloh bermanfaat
António Rodrigues,5,10/11/2022 14:17,Sangat bagus dan lucu
Erni Yuningsih,5,10/11/2022 8:13,Dulu bisa di donload sekarang susah bngettttt
Asep Heyda,5,10/11/2022 0:57,Bagus banget saya suka aplikasi ini terimakasih tiktok
Nur Aini,2,10/10/2022 20:51,Kurangin bintang karna sekarang tiktok ga bagus kalau di pake live
Hau MakSala07,5,10/10/2022 4:27,Apknya keren banget
Hamdan Indo,5,10/9/2022 18:53,Tolong klau apdate it jngn kasih gendor langsung biar masyarakat lebih sukak
Sopiyah Sopiyahahmad,5,10/9/2022 14:11,Hiburan TKW paling halu ga papa deh di sini kita bahagia ko
Alya Hendriawan97,3,10/9/2022 9:48,Mantap pokonya 👍😌
Kailah Enah,5,10/9/2022 9:08,Tik tok membuat hiburan bnyak orang menyukai tik tok termasuk saya
Radinal Dinal,3,10/7/2022 13:19,Gua kasih 3 dulu nanti kalo pak anis jadi persiden 2024 gua tambahin lagi 2 ok love you. ✌️tik tok
Aisyah Cianjur,5,10/7/2022 9:35,Sangat suka bgus bgt
Irawan Irawan,1,10/7/2022 8:56,Bagaimana menampilkan keranjang kuning.? Nanti klo sudah ada keranjang kuning saya kasih bintang 5
VLOG ED_YHANG_C93,3,10/6/2022 20:44,"Saya sedikit kecewa dan kurangi bintang,karna pada saat saya live selalu berhenti tiba tiba tampa sebab,padahal jaringan saya lancar sekali...."
Suhai niyah,3,10/6/2022 19:04,Tdk bisa mengikuti teman
Deny Setiawan,1,10/6/2022 18:55,"Tiktok penipu, akun saya di block padahal isi banyak uang. Kembalikan uang saya"
Neizza,2,10/6/2022 11:35,Tik tok nih sering bangt harus udate yg bnr aja dalam se minggu sekali .
ABDUL ROSID,5,10/6/2022 8:48,Bagus bgt aku terhibur bgt dengan videonya 😁
Paya Tey,1,10/5/2022 11:00,Karena tiktok kalo di instal itu serin gabisa kenapa
Salim Net,5,10/5/2022 2:01,Ok bisa cari ilmu dahwah
Roni Q,5,10/4/2022 17:24,Suka bngt. Sama tiktok 💓💓☺️
Miarsih Doang,5,10/3/2022 14:12,Tik tok tolong ya kasih video yg bisa cara untuk oplot dan tabahin klo video yg ada lagunya agar aku bisa
Oktofianus Obe,1,10/3/2022 4:14,Belum pernah merasakan sesuatu di tiktok
S.hafizzahra Hafizzahra,5,10/3/2022 1:36,Sangat menghibur dàn sangat bikin banya paedah. Contoh nya teman seluruh Dunia bisa slg support
Rahul Jr,5,10/2/2022 7:16,Sangat menarik
Lola Ksk,1,10/2/2022 3:14,Hay tik tok saya ingin mengembangkan tik tok saya yg lama nomor hp udah ngga aktip imel pun ngga aktip gimana cara masuk kembali tolong bantuannya
Dani Liadi,5,10/1/2022 14:04,Promosi yg bagus
Ulfah Izdihar,5,9/29/2022 13:41,"Tik tok aplikasi yang bagus dan banyak disukai oleh masyarakat, kalau ada masalah Tik tok akan menanggapi dengan baik dan cepat."
GiveMe SeeGod,3,9/29/2022 13:11,"Tolong kasih di fitur live stremingnya diberi pilihan grafik FHD HD SD, jadi ga burik burik di hp panjang2 jaman sekarang. Apalagi ini live rata2 pada jualan. Jd nontonnya lihat barang jd bagus"
Tina Undiya,5,9/28/2022 5:09,Sangat menyenangkan dan bertambah Pengalaman juga cukup menghibur
Lesha Ganzz,5,9/27/2022 10:02,apk yang sangat bagus🐦🙏
Kaivan Adelia,4,9/27/2022 5:21,"Tiktok obat bete ,,mkciih saya sngt terhibur"
Eni Yulia,5,9/27/2022 0:08,Aku suka akon ini pasal sngat menghibur bgi aku. Mkanya ku bgi bintang 5..1
Maria Octaviana,5,9/26/2022 9:08,Update filter yang lebih bagus lagi.sesuaidengan musik di tiktok.
BIGG_BOSS ARABIAN_RIYHAT,1,9/25/2022 12:29,Sagat bagus dan luar biasa dan kita bikin hiburan dan menghilangkan setres ok
Lisna Eristiani,5,9/24/2022 15:01,Sangat menghibur
You See,5,9/24/2022 11:16,Sangat menghibur
YT• ALFA,5,9/22/2022 9:59,"Apk sangat bagus dan bisa menjadikan kita semakin pandai dalam membuat fidio, mengedit fidio DLL."
Mohuti Timi,5,9/22/2022 4:51,Saya sangat senang dengan aplikasi Tik tok ini.
Ugur Yagci,3,9/21/2022 16:42,Lumayan membantu untuk menghibur diri
Joaninha Ximenes20,5,9/20/2022 15:12,sangat memuaskan dan membantu
Amani Kurniawan,5,9/20/2022 7:12,Sngtt suka terimksih sngt mnghibur
Mustamin,3,9/19/2022 10:58,Pembatasan berbasis keadilan bukan keadilan dalam kepentingan politik..
Jose Pinto,5,9/18/2022 1:08,Aku sudah kasih video juga gak mau like
Satria Alkasra,4,9/17/2022 17:06,download tannya bisa dipercepat nggak ya
Wawan Setiawan,5,9/17/2022 4:58,Lumayan lah aplikasi buat keluarga
Bento Ratzinger,5,9/16/2022 10:38,Aplikasi Sangat Menhibur🔥
Martinah martinah,5,9/16/2022 3:41,Haii tiktok mhon diperbaiki ya setiap upload pasti suara dihapus knp sih udh berulang kli loh...
Fitri Ferona,5,9/15/2022 12:56,Sangat menghibur
Sukran Husada,1,9/15/2022 4:43,Tiktok tolong berikan jawaban feedback saya tentang mengganti nomer telepon yg sudah kama tidak aktif
Lucia Calado1199,5,9/15/2022 0:43,Aku selalu Suka Pada Tiktok
Gea Prima,4,9/14/2022 23:25,"Tik tok tolong update buat filter urut , apabila music di klik , jadi kami bisa melihat mana video dari music tersebut yang baru"
Antra Mohd,5,9/14/2022 19:13,"Memang TikTok itu obat penenang hati,,karena bisa menghibur hati yg sedang pusing/ada masalah,, siipp mantap pokoknya.."
Rani Family,2,9/14/2022 12:13,"Aku kasih 2 dulu yaa, kalau Tik tok nya bisa bermanfaat untuk saya, saya kasih 5 bintang"
Maya Sofa,5,9/14/2022 1:06,Asyik bngt smoga sukses selalu tiktok
fitriyah hussain,5,9/13/2022 16:11,Sy sangat menyukai aplikasi TikTok ini
Kang Rosyidbrebes,5,9/13/2022 11:56,lumayan lah buat hiburan
Bagus Hermawan,5,9/12/2022 6:22,Ini bagus banget kalian coba deh karna banyak yang pake tiktok oh ya nama tiktok ku iman bachtiar ya tapi belum ada Vidio😊🙌
My Baby Love1234,5,9/11/2022 17:10,Dengan adanya aplikasi ini sangat membantu ku untuk menghibur diri biar gak stress ❤️❤️
Tania Martins,1,9/11/2022 5:03,Udah update filter tiktok.eh besok mau buat harus update lagi tolong la memperbaiki filter nya ko setiap membuat harus update lagi sih.?🥲
Margarida Lopes01,1,9/10/2022 12:41,Kenapa saya tidak bisa masuk ke Tiktok selalu muncul pembaruin si
Supersteel Super,5,9/9/2022 18:42,Aplikasinya bagus
Dede Daryati,5,9/9/2022 14:58,saya sangat suka smoga tidak ada masalah.
Rosantina De Jesus Corte-Real,5,9/9/2022 12:47,Aplikasinya bagus
Marito Quefi,4,9/9/2022 7:38,Tolong perbaika karna loading itu lama banget
Sumi Mira,5,9/8/2022 15:56,Bagus banget tik tok
Huliatul Aini,5,9/8/2022 10:57,"Lebih baik,,mencari 💸"
Alucard ML lovers,5,9/6/2022 7:14,Aplikasi yang bagus
Melita Soares,5,9/5/2022 11:36,Tiktok luar biasa dan kualitas bagus
Oryn Sarzin,5,9/4/2022 12:20,Selamat malam tim tiktok.. nama saya 0ryn. saya punya akun tiktok dengan @_____0ryn10 dengan jumlah pengikut sebanyak 14.6 ribu pengikut /followers dengan isi konten Random . di sini akun saya di blokir selamanya. sehinga saya tidak bisa sama sekali mengakses akun tiktok.padahal saya tidak melangar peraturan komunitas dan saya mematuhi dan melaksanakan peraturan yang ada di tiktok sebaik mungkin. tapi kenapa tepat pada tangal 3 setembro 2022 aku msata di blokir selamanya dan itu sanfat merygikan
Raffi Abdullah,5,9/4/2022 6:20,Dapat info Dan wawasan lebih terutama soal resep makanan🤤🥯
Heni Y,5,9/3/2022 21:52,Aku bahagia terimaksih selalu mnghiburku dibkala aku sendirian😓
Cintaku Cintamu,5,9/3/2022 18:54,Sangat menghibur
Evang Monteiro Soares,3,9/3/2022 15:20,Bagus baru di+bintangnya
Suminah S,5,9/3/2022 7:56,"Cukup seru, dengan tiktok bisa punya banyak teman"
Siti Aminah,5,9/1/2022 15:29,saya senang berada di tiktok berbagai belahan dunia hadir ditiktok
Sarah Marwan,5,8/31/2022 16:21,Cakep adain event saldo dana lagi dong
Noneng Ima,5,8/31/2022 14:09,Aplikasi ini sangat menghibur
Paul Da costa,5,8/31/2022 11:11,Aplikasi ini sangat bagus
Mahmud Iskandar,1,8/31/2022 10:06,Aku kena banned kerana tidak berumur 13 tahun tapi kawan saya umur belum 13 tahun inda kena banned sangat tifak bagus
Neng Lina,5,8/31/2022 8:34,Tolong kenapa tiktok saya mau d tutup
Abdul aziz,5,8/31/2022 3:42,Kenapa kalo berita Ferdi sambo ngk muncu di fyp saya tik tok tolong penjelasannya
Sukaesih Ojak jaja,5,8/31/2022 2:37,"Tidak boleh menyerah,semangat terus🤗"
ida nurhayati,4,8/30/2022 14:02,Empat dlu iy nanti di tmbh lg bintang nya
Attar,5,8/30/2022 8:22,Saya suka...saya suka...sukaaaa sekaliii✌✌
Leny Cardoso,2,8/30/2022 6:03,Bagus sih Tapi gak bisa Simpan filternya Di Beranda Juga Gak muncul Warna Kuningnya yang Bisa Simpan Filter gituh😒
Arsila Ahmad,5,8/29/2022 23:26,"bagus, kalo bisa promosikan vt saya,"
Aline Buterfly,5,8/29/2022 19:29,Aplikasi nya bagus
A Tilman,2,8/29/2022 11:24,Ko Komentar gue nga muncul di tiktok padahal dah komen ehhh nga ada tolong di perbaiki yahh 😔
Habibah Bibah,1,8/29/2022 8:59,Kenapa aku gak bisa live di tik tok ea
Umi Zahra,5,8/29/2022 6:21,Sangat bagus dan menarik
Yati Rahman,5,8/28/2022 20:43,Sangat menghibur banget
Noor Mohammad,5,8/28/2022 9:59,Bagusin dong tiktok nya jangan di blokir lagi
henny Anggriani,5,8/27/2022 16:28,Sangat bagus bisa membuat aku terhibur
Wawan Hermanto,5,8/27/2022 15:00,Teman on-line'ku sehari hari_thank you tiktok 🤗
Pengguna Google,1,8/27/2022 12:36,Jelek banget gak bisa pake lagu dari hp sendiri
Linaherlina Kariem72,3,8/27/2022 10:23,lebih..mantaf lagi poko nya
Yanti Ajahh,5,8/26/2022 19:44,Aplk keren banget .
Alves Mesquita,4,8/26/2022 1:52,K kenapa di tiktok saya tidak fyp tolon perbaiki
Falaj Uae,5,8/25/2022 4:25,Mantep sangat menghibur
Halimatussa' Diah,4,8/24/2022 22:28,Slalu mnjdi penghibur dikala sepi
Ordi Nal,5,8/24/2022 4:52,Aplikasinya wow tidak bagus😃 Tpi sudahlah sy ksh ranting 5
Nia Ai,5,8/23/2022 8:47,Saya menyukai tiktok karena bisa dapat menghibur diri saya d kala saya cape atau pun lagi sedih pokonya 100% memuaskan 👍👍👍
Jery Tls,5,8/23/2022 7:29,Sangat Mempuaskan
abdullrohim milah,5,8/22/2022 22:10,bagus buat hiburan
Martina inem,5,8/22/2022 18:53,bagus utk cr tmn dan utk hiburan
Advento da Costa,5,8/20/2022 12:00,Sangat Bagus banget
Nugianti Sagita,1,8/20/2022 4:47,"Kamera tiktok nya jelek banget. Saya sebagai pengguna user android, sangat kecewa dengan kamera yg diberikan oleh tiktok."
Elvino Elvino,5,8/20/2022 4:30,"Aku udah sampe 5 tahun nan pake tiktok, makin update menurutku si makin perfect !"
Sutinah Tinah,5,8/19/2022 21:11,Bagus dan meyenangkan
Marshal Prima,1,8/19/2022 11:36,Di fitur aksesibilitas hilang nih gmn sih tiktok
Anis Clack,1,8/19/2022 10:55,Gk bagus banget app ini Masah Sih akun saya di blokir kan saya gk ngapa ngapain saya kesel banget saya udah daftar berkali Kali Tapi gk Ada hasil nia mohon di perbaiki app ini Karna saya Juga ingin bermain Tik Tok Seperti orang lain Juga💔💔💔💔💔
Sawe Channel,5,8/18/2022 15:31,"Suka sekali aplikasinya,, pokoknya mantap lah.."
fikri yanuwar,5,8/18/2022 13:05,"Selain menghibur, bisa jadi sumber mata uang hehe"
F5X,1,8/18/2022 1:50,Hallo saya sangat kecewa sama tiktok karena saya sudah punya akun Facebook tadi aku mau login gak muncul muncul tolong perbaiki
Siti Nuraeni,5,8/17/2022 3:12,Saya suka aplikasi ini buat menghibur diri sekalian nambah sodara
Gadith Sembarang,4,8/17/2022 2:26,Saya suka banget sama tiktok tapi tolong lah ditambahin filter yg bisa bikin HD sama di tambah keranjang kuning nya soalnya saya suka berbelanja
Afriyan Bayu,2,8/15/2022 5:45,"Susah untuk download hasil live, mau langsung diputar nggak bisa"
Aa Bb,5,8/14/2022 20:50,Sangat memberi inspirasi sekali
Dewi Dhellay,5,8/14/2022 11:35,"Aplikasi ini benar² membuat saya puas,aplikasi nya lancar"
Sri Handayani,5,8/13/2022 10:49,Saya suka banget dengan tiktok
Ekasiti maesaroh,5,8/12/2022 15:19,Semangt bikin konten nya
Sarah Judes,4,8/10/2022 19:29,Bagus sangat menghibur
indah suciatiputri,5,8/10/2022 16:44,saya suka tik tok tapi kenapa gk ada keranjang kuning di tik tok saya pengen belanja tapi gk bisa karna tidak ada keranjang kuning nya.
fitri channel,5,8/10/2022 12:15,Ko punya saya belum bisa komal 6 ya
Mawla Cell,5,8/9/2022 15:33,Setiap buka tiktok Pokoknya seru deh
Yati Qolis,5,8/7/2022 13:33,Sangat baik aplikasi ya menghibur
Mardiana Dianamardiana,5,8/7/2022 10:21,Kalou ga suka aku suka deh kasih 5 bintang
Ummi Umayya,5,8/7/2022 8:25,Ka tolong bantu saya karna saya gk bisa masuk k akun tiktok yang dulu tolong solusinya
KING FOX,2,8/7/2022 1:49,Tolonglah tambahin fitur Upload hd di tiktok.jgn cuma di amerika atau di iphone itupun di phone nlbelum tentu .please saya konten kreator sangat membutuhkan.karna saya capek editing tapi tidak hd
Cardosso ady,5,8/6/2022 22:44,Apk nx bagus banget keren
karnisah apud,5,8/6/2022 9:07,"Mkch tiktok aku bisa bahagia selama punya tiktok, bagus bgttttt alhmdllh"
Latief Faujiyah,5,8/4/2022 5:34,Aku merasa terhibur dgn ada nya tiktok makasih
Noor Hasanah,5,8/3/2022 8:42,Sangat menghibur terimakasih telah menghibur ku
Suliya Sakilah,5,8/2/2022 8:11,Mersa terhibur dengan adanya aplikasi tik tok aku suka
Anak Rantau,5,8/2/2022 1:50,sangat liar biasa dan menghibur
Kevin Setyawan,5,8/1/2022 18:40,Kualitas kompresi sangat bagus
Ursula Da Costa,5,8/1/2022 11:03,"sangat menhibur, dan selalu menberi wawasan yg sangat baik dan bermanfaat bagi saya🙏😍"
Murad Alfatih,4,8/1/2022 7:20,Bagus buat hiburan
Maria olinda Costa da conceicao,5,8/1/2022 2:25,Senang karena merasa terhibur bangat😊
jayanti pratiwi,4,7/31/2022 7:02,Tik tok memang keren tetepi ko ' terulan terus harus instal terus
Kajon78,2,7/31/2022 0:44,Kenapa tidak bisa ongkem tik tok aku bang tik tok
Siah Juleha,5,7/30/2022 19:28,Aku cukup puas dg main tiktok
Joselino Pereira,5,7/30/2022 1:02,"Tolok memperbaiki Aplikasinya, kenapa orang yang membagikan Postigan kita koh ita tidak bisa lihat..."
Sarni Mansur,5,7/29/2022 17:22,Terinspirasi aja aplikasinya bagus
AQila Azzahra,5,7/29/2022 16:40,Knp ya tik tok saya tidak menghasilkan uang padahal ini akun saya udah lama
Nur Badriah,5,7/28/2022 19:29,Knpa d update trus tiap hri tiktok ko gitu sih bikin kesel ajh pke nyedot pulsa lg
Ummu Kazhim,5,7/28/2022 12:33,Aku suka bikin viral lagi cepetan downlod tiktok sekarang seru bisa cobain filter lagi😘😗😍☺😶😖😖😖😳😳😳😳😳😳😳😳downlod gak atau aku tampol
PGS july,4,7/28/2022 9:07,Appk nya bagus tapi aku hanya igin agar bisa di perbaiki agar saat si update terbaru Jagan ada yang hilang karena saat aku danloud dan update lagi akunku ikutan hilang jadi mohon di perbaiki secepatnya 🙏🙏
Le_ kok,3,7/28/2022 7:10,3 duludh..hp saya suka macet klo habis kluar dari tiktok
Icha Bella,5,7/28/2022 6:51,Aku suka tiktok banyak pemberitahuan yg aku tidak tau jdi tau
مورتيه بت,3,7/27/2022 17:10,Terima kasih atas aplikasinya yang menyengakan😍
Leni Kuswati,5,7/26/2022 21:31,Aplikasi ini sangat menghibur semua orang 🥰🥰🥰🥰
Sriayu Wandira,5,7/26/2022 19:06,Mksih banyak aplikasi nya
اسيا محمد,5,7/26/2022 15:48,Saya suka dgn aplikasi ini dan saya sangat senang dan menghibur bangat semangat kerja aku jadi okay 😄😄
Sinar Rembulan,5,7/26/2022 11:42,Bisa menambah teman dan wawasan
Tteh Chikall,5,7/25/2022 12:16,Terimakasih tik tok membuat para pejuang devisa terhibur 😍😍
Rosa,5,7/25/2022 12:15,Pengalaman Sy sbagai pekerja keras / seorang Pejuang Devisah' untuk msa DPN sang buah ht trcinta'
Itays Doank,5,7/25/2022 4:23,Sangat baik apalikasi nya bagus
Putri Keisha,5,7/25/2022 0:38,Kenapa pas live efek ku gk ada di kontak
Nur Yanz,5,7/24/2022 10:09,Sangat menyenangkan bikin terhibur
Mul Yanti,5,7/24/2022 5:17,"Sangat menghibur . mantap banyak yg pelajaran ""yang harus diketahui"
Izza Dinillah,5,7/23/2022 20:03,Makasih tiktok...krn mu..gak usah kesalon kecantikan vareasinya banyak haha
Raman Raman,5,7/22/2022 14:07,Enak. Bermain bersama orang2 baik.
tukang ngibul,5,7/22/2022 3:10,Tiktok banyak membantu dlm segala hal dan informasi penting
RP Gaming,4,7/21/2022 9:42,"Kenapa, kalo kita membuka komentar, itu pin komentar nya kok gaada malahan pin nya random, bukan dikasih paling atas, tolong perbaiki lagi supaya saya bisa nyaman mainin tiktok nya"
Lume Hariyanti,5,7/20/2022 20:54,Saya pengen bayar promosi tapi kenapa cuma kredit doang gk pake pulsa... Semoga nanti2 bisa paje pulsa
Eny Rohaeni,5,7/20/2022 5:21,Aku sangat suka sangat membantu menemani kejenuhan ku
Titin Nelsya,4,7/19/2022 8:45,Sebel...sering ada iklan
Nahfa Maulida,5,7/19/2022 7:48,Sangat sangat ber manfaat bagi saya
Melky Dacosta,1,7/18/2022 11:06,Aplikasinya Lemott
Diah Sadiah,5,7/18/2022 0:02,Tiktok sangat bagus
Erny Nura,5,7/17/2022 11:56,Bagus dan bermanfaat
Jumita Abu,4,7/17/2022 8:28,Hlo aplikasi nya bagus tapi knapa filter nya gak kaya yang punha orang ko punha ku yang jelek gitu si
Gevania Leite,5,7/17/2022 8:21,Saya suka banget sama aplikasi ini tapi efek aku deh ko efek tiktok saya gabisa dipake 2022 yang keluarang efek baru
Yoesef Setia,4,7/15/2022 12:18,sangat jd hiburan
Sindhu Sayogi,5,7/15/2022 5:48,Sumpah pas aku lagi kepick orang tiba tiba kayak aku di blok Sam orang ny padahal gk di blok bolh benakit gk karena dah capek bikin video tapi juga gk fyp 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😢😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
Eni Sumiyati,5,7/14/2022 5:36,ku kasih 3 dulu bintang ya bagus banget sih
Ana Godinho,5,7/14/2022 0:39,Aku suka bangan apk nya....
Khafid khafid,5,7/12/2022 16:41,ini sangat seruuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
Sena Rajab,3,7/12/2022 15:44,3 aja dulu lelet ngga kaya dulu
Muhamad safrudin,5,7/11/2022 20:11,Sangat bagus sekali
Yarra Jhoni,5,7/11/2022 19:27,Cukup menghibur buat hiburan dan tontonan
Xxx Qing,5,7/11/2022 1:53,Bagus bisa apk ini
Agus Ramdan,3,7/9/2022 1:26,"Tolong tambahkan pembayaran promosi menggunakan pulsa, jangan cuman kartu kredit."
Zainul Arifin,5,7/8/2022 4:38,Kasih 1 dulu blm di coba
JHON ELANG,5,7/7/2022 9:08,Mantap selalu kasih bibntang 7
TinaAzkiya0612 Azkiya,5,7/6/2022 3:47,Aplikasi ini bagus banget
Alfiah Angaraini,5,7/6/2022 3:00,Saya tidak bisa masuk ke akun lama saya kerna lupa kata sandi tiktok lama sya tolong bantuan
Mohinaa Aa,5,7/4/2022 17:33,Terimakasih sangat menghibur
TLH DIVOALVES,5,7/4/2022 11:42,Wkwkwkwk bagus bang getttt
yunicitra citra,5,7/2/2022 8:58,Netulim lgi yg llebih bagus biar vt aku lebih ramai dam lebih banyak yg nonton
Muhammad Arsyad,1,7/2/2022 2:42,Terus di-update ini malah paketku temakan walaupun paket ku sedikit namun update nya otomatis hi kesal
Naynawa Nasser,5,7/1/2022 15:44,bagus gilaaaaaaaAAaaaaaaaaa sumpahhhh gak ada kata boonggg
Kazeo NA,1,7/1/2022 6:03,Tik tok sekarang tidak sama lagi dengan dulu sekarang iklan banyak udah nggak bagus lagi !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Linda Wati,5,6/30/2022 22:24,Suka banget sama tiktok
Abyazam Alfaroji,5,6/30/2022 6:20,Ko tiktok sya lelet. Kalo mau bikin video lama bngt
fauzicaem,5,6/29/2022 11:03,informatif n menghibur
Rosa Andin,5,6/28/2022 13:39,Aplikasi ini sangat memuaskan
RARA,5,6/27/2022 14:15,Sangat bagus dan bermamfaat
Rendi Hidayat,5,6/27/2022 12:11,Sangat mnynangkan
Ennie krisna,5,6/27/2022 3:00,"Bagus banget, meskipun saya ga pinter pinter goyang tp saya sanang happy"
Warsini Karna,1,6/26/2022 0:16,Kok tiktok nya buat bisa berhenti
Nana Alung,4,6/25/2022 16:53,Tiktok bikin hari2 ku campur aduk senang maupun sedih
